LD_Mean_RT_Zscore_CW,PLDF_CW,LD_Mean_RT_CW,OLDF_CW,WN_Zscore_CW,WN_Zscore,Ortho_N_CW,WN_Mean_RT,LD_Mean_RT_Zscore,SUBTLEXus_Freq_AW_Log,PLD_CW,SUBTLEXus_Range_AW,OLDF,PLD,WN_Mean_RT_CW,SUBTLEXus_Freq_CW_Log,LD_Mean_RT,PLDF,OLD_CW,Kuperman_AoA_CW,Phono_N,Phono_N_H,BNC_Spoken_Freq_AW_Log,COCA_spoken_Frequency_Log_AW,Phono_N_CW,Brown_Freq_AW_Log,TL_Freq_AW_Log,COCA_spoken_Range_AW,nwords,Phono_N_H_CW,SUBTLEXus_Range_CW,Log_Freq_HAL,Ortho_N,Kuperman_AoA_AW,Brown_Freq_CW_Log,BNC_Spoken_Range_AW,SUBTLEXus_Range_AW_Log,COCA_fiction_Range_AW,TL_Freq_CW_Log,BNC_Spoken_Freq_CW_Log,OLD,SUBTLEXus_Range_CW_Log,McD_CD_CW,COCA_fiction_tri_2_DP,COCA_spoken_Range_Log_AW,OG_N,OG_N_CW,Log_Freq_HAL_CW,SUBTLEXus_Freq_CW,BNC_Spoken_Range_CW,COCA_news_Range_AW,COCA_spoken_Frequency_Log_CW,COCA_spoken_Range_CW,COCA_fiction_Frequency_Log_AW,MRC_Familiarity_AW,COCA_magazine_Frequency_Log_AW,adjacent_overlap_cw_sent,COCA_news_Frequency_Log_AW,COCA_magazine_tri_2_DP,COCA_fiction_Range_CW,BNC_Spoken_Freq_CW,aoe_inflection_point_polynomial,adjacent_overlap_all_sent,COCA_fiction_Frequency_Log_CW,LD_Mean_RT_SD_CW,fic_av_lemma_freq_log,COCA_news_Range_Log_AW,Brown_Freq_CW,COCA_magazine_Range_AW,adjacent_overlap_2_cw_sent,KF_Nsamp_AW,KF_Freq_CW_Log,news_av_lemma_freq_log,COCA_fiction_Range_Log_AW,USF_CW,prp_ttr,WN_SD,COCA_magazine_Range_Log_AW,MRC_Familiarity_CW,aoe_inverse_average,COCA_spoken_Range_Log_CW,COCA_news_tri_2_DP,KF_Freq_AW_Log,adjacent_overlap_cw_sent_div_seg,COCA_news_Frequency_Log_CW,adjacent_overlap_2_all_sent,COCA_news_Range_CW,mag_av_lemma_freq_log,Trngain_Lasswell_neg_3,av_nsubj_pass_deps_NN,COCA_fiction_bi_MI,aoe_index_above_threshold_40,Trngain_Lasswell,nsubj_pass_stdev,COCA_magazine_Frequency_Log_CW,KF_Nsamp_CW,rubric1,rubric2,rubric3,rubric4,rubric5,rubric6,holistic_score,weights
-0.610111857,8.472918552,612.8908277,8.143823529,-0.535794183,-0.557185473,8.722595078,602.8789494,-0.59924773,4.79081901,1.511199095,6350.674479,8.601879896,1.404699739,608.02783,4.157271847,615.7270169,9.073577024,1.743891403,5.003917051,20.6459144,22.08171206,0.091619769,3.071710309,19.8344519,2.46854102,3.845584544,0.628806943,780,21.03131991,5066.698198,13.16239948,8.981841764,4.634410596,1.825676792,76.36210405,3.662749609,0.678298426,3.412883499,-0.562839907,1.635900783,3.488445946,0.619353808,0.1097927,-0.411445983,4.164721141,4.346756152,11.69472036,75784.81306,61.19308205,0.580546912,2.454467785,0.428882093,3.134879441,596.8563218,3.04574158,0.151595745,3.017590614,0.127966776,0.508973634,1.434187352,3.128152518,0.256493506,2.556426098,201.7197539,4.932271756,-0.446057798,332.0799031,0.556091295,0.229050279,304.6543046,2.541782748,4.804900553,-0.298201681,28.82201405,0.076923077,129.0514786,-0.44940709,584.613577,0.229599829,-0.662474301,0.140961122,3.096463425,1.965517241,2.465326335,0.348639456,0.382299101,4.822283231,0.005434783,0,1.306366405,1.077181208,0.006410256,0,2.47666241,211.9976798,10,10,10,10,10,8,46,0.076923077
-0.60283871,8.412560706,615.929914,8.017880795,-0.534430108,-0.564088127,8.287553648,602.2476377,-0.59001224,4.821866131,1.575717439,6468.824475,8.568534161,1.446024845,609.249914,4.159270241,620.4231579,9.029801242,1.801103753,4.864759725,20.04889976,21.38508557,0.109843028,3.079765207,18.972103,2.528038852,3.836872293,0.637257018,848,20.07081545,5144.083151,13.16081907,8.753056235,4.525069886,1.89258821,77.0839573,3.677098022,0.668397803,3.31257266,-0.562161533,1.663229814,3.498932385,0.647145585,0.101193758,-0.418814193,4.158924205,4.227467811,11.60980687,73306.03063,61.79012631,0.581871147,2.421308609,0.429162464,3.077309915,599.9733146,2.995778337,0.167475728,2.990392077,0.10126865,0.482934954,1.474494365,3.243114844,0.245390071,2.425456803,204.3900645,5.073511315,-0.475037654,345.4069767,0.556597066,0.218274112,299.2917182,2.400999657,4.875885304,-0.338354073,33.75750577,0.076923077,125.8385802,-0.494496745,587.4396783,0.255019889,-0.691920134,0.103953262,3.038111534,1.815789474,2.36087581,0.338757396,0.368659648,4.919092231,0.002463054,0.5,1.439951211,1.054140127,0.002358491,0.5,2.344118662,198.131291,8,8,8,8,8,8,40,0.00621118
-0.645687831,8.710376344,602.3069048,8.297231183,-0.578492063,-0.585050798,10.39577836,595.8656459,-0.632583454,4.917363942,1.380913978,6898.618978,8.786237189,1.3284041,601.5203968,4.414792781,606.9822351,9.271185944,1.593951613,4.766055556,22.74492754,24.37826087,0.182595511,3.161767661,22.31926121,2.549113903,3.893287187,0.677222096,705,23.69129288,5830.328877,13.26104348,10.2826087,4.498116592,2.045935479,80.77681012,3.753724234,0.707799619,3.496289861,-0.371171244,1.534480234,3.622757219,0.552475504,0.096328852,-0.34349264,5.101449275,5.44591029,12.02572559,103308.4973,67.56980239,0.615663142,2.61713028,0.495443354,3.178896867,598.1722488,3.072867494,0.159874608,3.042019672,0.098107163,0.556159139,2.0618572,3.285520101,0.233521657,2.686240486,197.4117989,5.124378823,-0.405418836,451.5434174,0.592593397,0.246835443,318.7268722,2.540028504,4.904474819,-0.245563381,33.85399449,0.086956522,123.010479,-0.404524633,588.3024691,0.256309782,-0.577065336,0.10727893,3.071069767,1.75862069,2.519898912,0.341603053,0.422318176,5.00172052,0.001512859,0.5,1.350194902,0.986784141,0.00141844,0.433012702,2.551930187,227.4108108,6,6,6,6,6,6,30,0.020408163
-0.606430976,9.006734007,613.8636027,8.451784512,-0.570841751,-0.588202443,11.36774194,595.3038045,-0.612321117,5.003810924,1.292929293,7014.097479,8.862495637,1.221815009,601.7353199,4.364889028,611.3107155,9.415183246,1.493602694,4.66337931,24.89931741,26.41638225,0.334484242,3.202553317,23.99032258,2.759457601,4.010596212,0.677618282,645,25.1,5914.655172,13.46496587,10.69624573,4.293475177,2.203313939,82.55818061,3.712999832,0.737465515,3.624615916,-0.279033977,1.466404887,3.536131975,0.565103448,0.063035241,-0.380073792,4.97440273,5.038709677,12.02777419,97503.77116,69.94829732,0.598462606,2.554404101,0.482335171,3.300210575,601.353271,3.012807437,0.191489362,2.971760101,0.062596613,0.573571545,2.246509427,2.671616313,0.275423729,2.697199161,206.7352862,5.238289153,-0.523007758,551.8120567,0.561689561,0.325670498,319.5890653,2.649123132,5.043253487,-0.274871553,26.7173913,0.13559322,119.6768063,-0.509169953,589.3282443,0.206902536,-0.66268714,0.061864034,3.193842147,2.16,2.310185955,0.421412301,0.397932509,5.08290882,0.00170068,0,1.135762917,0.45505618,0.001550388,0,2.338744933,239.4295533,6,5,6,6,5,5,26,0.25
-0.613888889,8.215625,615.2233333,7.8575,-0.502222222,-0.550625,8.111111111,611.3221875,-0.555,4.970133333,1.590625,6839.133333,8.739,1.338333333,620.8711111,4.1682875,629.4425,9.014,1.734375,4.808125,22.875,25.125,0.244107335,3.015023499,19.66666667,2.674365361,3.984939158,0.6480901,44,21.38888889,5506,13.4221875,9.375,4.172333333,1.994724982,80.51502568,3.666223333,0.671010907,3.361965182,-0.464016952,1.545,3.44205625,0.648,0.106772851,-0.532314251,4.59375,4.833333333,11.73444444,65702.25,66.61827354,0.60692416,2.147102084,0.412308897,3.03345802,604.4615385,3.084158077,0.038461538,3.065043194,0.134021979,0.445493533,1.311300344,3.637368092,0.179487179,2.14760051,203.7627778,4.719851069,-0.480279442,269.1764706,0.580888379,0.210526316,303.1935484,2.424657493,4.454911929,-0.432756855,41.46666667,0.333333333,135.0896875,-0.476124501,585.9166667,0.297082768,-0.926966687,0.138925869,3.160460602,0.333333333,2.217412205,0.321428571,0.340011747,4.486313989,0,0,1.750478822,1.615384615,0,0,2.235437904,180.4117647,8,8,8,8,8,8,40,0.00621118
-0.585780488,8.351032746,621.3259024,7.937078086,-0.532585366,-0.566979866,8.171497585,600.5034765,-0.596926174,4.709830518,1.545969773,6167.873297,8.519672131,1.434016393,608.8344146,4.026997744,617.2194899,8.995191257,1.726952141,4.868110236,19.93324433,21.13217624,-0.00953183,2.919015791,18.78743961,2.403838302,3.785528095,0.583875401,822,19.8115942,4639.884712,12.88251001,8.93858478,4.597633053,1.742899113,73.76577497,3.649396322,0.660134364,3.250696479,-0.713641115,1.61079235,3.450325313,0.651349462,0.122386946,-0.506153386,4.347129506,4.538647343,11.2860628,58729.88221,56.90760198,0.544934623,2.189423774,0.358167127,3.076963389,594.2139535,2.949225459,0.06345733,2.90235848,0.111174172,0.471729514,1.07674597,3.105197343,0.160248447,2.431461466,209.7073171,4.743417463,-0.529396037,258.8814016,0.52750746,0.093541203,286.3726027,2.330899222,4.49835133,-0.328023374,31.13262599,0.056,125.4963758,-0.513795172,581.0030864,0.235043594,-0.837690136,0.108275699,2.993176714,0.358024691,2.227505238,0.227672956,0.316121896,4.5445774,0.015037594,0,1.643158623,0.858156028,0.01459854,0,2.278375379,177.8101266,8,8,8,8,8,8,40,0.00621118
-0.64835443,8.559423077,599.8501899,8.114230769,-0.585189873,-0.608858131,8.652173913,594.2683737,-0.624152249,4.91843069,1.490705128,6727.744828,8.644216028,1.344947735,598.6139241,4.332996855,609.6625952,9.103101045,1.720833333,5.071233766,23.0239726,24.79452055,0.175722728,3.160404291,19.76397516,2.502816168,3.90991419,0.66414205,291,20.68944099,5544.679245,13.36883562,9.297945205,4.72540636,1.863054941,79.02318865,3.727607241,0.698238654,3.39107207,-0.467854119,1.609756098,3.577950314,0.589851351,0.106731586,-0.365451451,4.301369863,4.285714286,11.96031056,91271.10692,64.49608794,0.595467806,2.545037994,0.463708063,3.152901001,600.1654135,3.064060386,0.169230769,2.994287204,0.107050313,0.520630251,1.721692866,2.9513766,0.275229358,2.56741608,189.5070253,5.298267695,-0.451086504,351.9032258,0.598429868,0.227642276,311.633218,2.458284287,5.099226632,-0.255620799,41.35971223,0.138888889,123.9446713,-0.427116807,589.1843972,0.232451832,-0.619646649,0.114834207,3.059682651,1.375,2.384081229,0.359223301,0.380022719,5.146475921,0.007067138,0,1.238458089,0.936936937,0.006872852,0,2.454205453,212.7848101,7,6,7,7,7,7,34,0.026315789
-0.582524752,8.204485488,620.2836881,7.889313984,-0.543366337,-0.571087866,6.95308642,601.2882008,-0.587391911,4.691476945,1.657255937,6186.43804,8.476907514,1.504624277,609.6780693,3.997786089,620.8703487,8.877716763,1.873746702,5.459214092,18.12116992,19.3816156,-0.009121979,2.959732761,17.0617284,2.415676266,3.783893377,0.61040982,734,18.33333333,4624.220472,12.94811978,8.250696379,4.963900293,1.762928164,74.2101551,3.619445677,0.639229232,3.211828665,-0.715948731,1.696098266,3.387546719,0.722011799,0.118127891,-0.503609874,3.749303621,3.733333333,11.364,67931.67717,57.44325974,0.574377386,2.261775798,0.395877552,2.959930473,597.6138614,2.962901083,0.116049383,2.91811887,0.12319798,0.442518192,1.533559774,3.522008694,0.179411765,2.272760443,210.1493564,5.117831603,-0.533157737,338.6406685,0.561678757,0.17,299.1269615,2.331850965,4.964060252,-0.390711965,31.92082111,0.06741573,127.9191353,-0.510697098,586.0065789,0.272438122,-0.832805955,0.12476997,3.002850889,1,2.229408015,0.281016442,0.352349265,5.011056974,0.005873715,0,1.515414091,1.053956835,0.005457026,0,2.285067021,191.314433,8,9,8,9,8,8,41,0.045454545
-0.613563636,8.204339623,612.8235636,7.930528302,-0.551890909,-0.572142857,7.723636364,599.699,-0.606632653,4.692782536,1.608867925,6152.158004,8.445770833,1.491354167,604.9475273,3.985628195,614.7393469,8.866645833,1.835849057,5.132765152,19.71428571,21.32653061,-0.056561121,2.976667336,17.89090909,2.34702629,3.742261613,0.608508214,536,19.26545455,4545.221805,12.87530612,8.446938776,4.79197479,1.64575895,72.54491042,3.628934096,0.64790959,3.210633318,-0.808541117,1.717604167,3.406569925,0.752313008,0.131973645,-0.468159735,4.142857143,4.261818182,11.2712,63086.31203,53.94123889,0.549673346,2.285832991,0.385264523,2.997644122,598.0756501,2.919755929,0.132686084,2.842977228,0.11858396,0.454203269,1.215628327,3.465166522,0.155555556,2.35584973,200.8430182,4.70908215,-0.551999405,252.6795367,0.542079241,0.202020202,288.56639,2.320470767,4.440355778,-0.337729042,34.24897959,0.107142857,123.0290816,-0.512840488,586.4343891,0.266542405,-0.781077204,0.123064779,2.953770283,1.051282051,2.176505549,0.232217573,0.32424158,4.51216816,0.00210084,0,1.427779097,1.072164948,0.001865672,0,2.267525571,182.8801498,8,8,9,8,8,8,40,0.00621118
-0.615964126,8.581441441,608.1902242,8.152882883,-0.569641256,-0.583088235,9.537777778,598.1363725,-0.604338235,4.703755961,1.426576577,6240.725061,8.612088452,1.360810811,603.2516592,4.010606195,612.6034804,9.146511057,1.618243243,4.904136364,21.37804878,22.85365854,0.063394275,2.991021727,20.77333333,2.431937937,3.838274473,0.620042967,439,22.09777778,4704.384956,12.99234146,9.67804878,4.623539604,1.726703987,75.63365059,3.60306545,0.665664151,3.264973943,-0.664456051,1.538083538,3.356397345,0.61038806,0.093678892,-0.497294807,4.482926829,4.76,11.29613333,76128.34513,57.69292793,0.57198569,2.245049139,0.388146804,3.075656382,595.7539683,2.977066352,0.119047619,2.923767756,0.097309454,0.473061342,1.4807077,3.188355472,0.185507246,2.415992066,197.3711211,4.936989928,-0.552665362,324.6212121,0.561094202,0.19895288,308.1410891,2.391716444,4.777114448,-0.34110829,34.98578199,0.156862745,126.872451,-0.526401252,582.3383838,0.240496404,-0.855784214,0.113076022,3.072782765,1.470588235,2.194787651,0.295454545,0.330937177,4.801936377,0.009345794,0,1.34962706,1.121019108,0.009111617,0,2.264182491,195.7534247,6,7,8,6,6,6,31,0.029411765
